Fecha;Total;Otros;Plazos Fijos;Cuenta Corriente;Caja de Ahorros;Circulante en Público
2020-01-02;4372652;127120;1532210;916046;788770;1008506
2020-01-03;4358885;117723;1554174;894003;782911;1010074
2020-01-06;4297531;123201;1559844;855102;746671;1012713
2020-01-07;4302395;121830;1581301;833050;755036;1011178
2020-01-08;4319714;121761;1591129;843220;750432;1013172
2020-01-09;4328524;132195;1605131;841439;736672;1013087
2020-01-10;4435920;136221;1622679;884753;780883;1011384
2020-01-13;4444995;134651;1625278;925608;749704;1009754
2020-01-14;4496111;120029;1644290;957853;770603;1003336
2020-01-15;4509136;113493;1645985;949312;798790;1001556
2020-01-16;4516979;113339;1663419;932549;806771;1000901
2020-01-17;4538013;132713;1696485;903784;805000;1000031
2020-01-20;4558217;118116;1674793;962642;805074;997592
2020-01-21;4590831;116200;1689663;977858;814155;992955
2020-01-22;4619283;112716;1690093;1019579;804622;992273
2020-01-23;4620113;110210;1709619;1027897;780622;991765
2020-01-24;4634108;112982;1748535;1005275;773988;993328
2020-01-27;4645926;116073;1721443;1024475;790995;992940
2020-01-28;4660978;116394;1739411;1015756;798879;990538
2020-01-29;4670618;116484;1723237;1025524;813855;991518
2020-01-30;4691908;119235;1736679;977998;862861;995135
2020-01-31;4691904;121326;1747142;904992;918450;999994
2020-02-03;4674208;129646;1710132;898103;931887;1004440
2020-02-04;4658803;128686;1736230;871183;915561;1007143
2020-02-05;4670053;124751;1739927;860234;934549;1010592
2020-02-06;4683019;125826;1750979;846372;944052;1015790
2020-02-07;4688196;129523;1747203;848803;941527;1021140
2020-02-10;4634053;149279;1730480;851972;878433;1023889
2020-02-11;4652729;131215;1760064;895875;849091;1016484
2020-02-12;4657093;132188;1763881;889707;855969;1015348
2020-02-13;4688853;118788;1776861;938779;840536;1013889
2020-02-14;4673757;116272;1790440;899828;853642;1013575
2020-02-17;4677999;127553;1791941;889720;857746;1011039
2020-02-18;4711670;144656;1817716;896535;847803;1004960
2020-02-19;4712472;121691;1814882;940397;832442;1003060
2020-02-20;4755008;118974;1820203;995452;815180;1005199
2020-02-21;4767715;120030;1844956;969358;826727;1006644
2020-02-26;4787524;133179;1808621;1025107;817741;1002876
2020-02-27;4830985;132827;1818681;1037896;841774;999807
2020-02-28;4856216;131972;1831200;945181;940793;1007070
2020-03-02;4853044;124086;1828284;923354;961652;1015668
2020-03-03;4867524;124648;1853945;913388;958725;1016818
2020-03-04;4861875;128169;1851980;898084;964011;1019631
2020-03-05;4888079;124444;1861168;888367;987732;1026368
2020-03-06;4853800;127233;1872484;857285;962600;1034198
2020-03-09;4818013;139273;1854759;876198;907955;1039828
2020-03-10;4832778;141069;1870961;912655;873741;1034352
2020-03-11;4873558;133912;1866944;969001;872769;1030932
2020-03-12;4895787;120031;1878797;976490;890864;1029605
2020-03-13;4890756;117769;1892002;944821;905514;1030650
2020-03-16;4897778;129806;1884233;958286;894014;1031439
2020-03-17;4920308;144001;1901110;968056;879690;1027451
2020-03-18;4942524;124353;1901749;1007560;882489;1026373
2020-03-19;4996756;121890;1895611;1074057;874097;1031101
2020-03-20;5007589;150506;1861454;1071289;891045;1033295
2020-03-25;5066081;170252;1816358;1146028;895550;1037893
2020-03-26;5135442;177825;1823705;1157294;938602;1038016
2020-03-27;5213598;182126;1809299;1129877;1053572;1038724
2020-03-30;5234890;212944;1774840;1116334;1077263;1053509
2020-04-01;5240341;217099;1769556;1092987;1099147;1061552
2020-04-02;5286409;204790;1801420;1086670;1126445;1067084
2020-04-03;5314201;214845;1785326;1070880;1159967;1083183
2020-04-06;5338909;225453;1772343;1028179;1197992;1114942
2020-04-07;5385183;222978;1787289;1058829;1191998;1124089
2020-04-08;5403221;222215;1780914;1069075;1197337;1133680
2020-04-13;5346317;249364;1742319;1098906;1105100;1150628
2020-04-14;5375243;225849;1778665;1144395;1078743;1147591
2020-04-15;5394382;214418;1783585;1175819;1072036;1148524
2020-04-16;5375075;198410;1805754;1170787;1049887;1150237
2020-04-17;5422311;207909;1809491;1175374;1077290;1152247
2020-04-20;5422122;191073;1802590;1211185;1058700;1158574
2020-04-21;5460052;181504;1822266;1238027;1059237;1159018
2020-04-22;5469631;173990;1860874;1231441;1042727;1160599
2020-04-23;5477487;163381;1888961;1232476;1031073;1161596
2020-04-24;5493233;163534;1900130;1214283;1051862;1163424
2020-04-27;5536927;161704;1892311;1256646;1054830;1171436
2020-04-28;5572900;159328;1902538;1252140;1087580;1171314
2020-04-29;5576619;164347;1890697;1215761;1129437;1176377
2020-04-30;5625782;197715;1880156;1170948;1192115;1184848
2020-05-04;5662920;189294;1857379;1231267;1180953;1204027
2020-05-05;5715966;176763;1879157;1257562;1193847;1208637
2020-05-06;5719226;173765;1885688;1225642;1218444;1215687
2020-05-07;5729171;167919;1910488;1179050;1249677;1222037
2020-05-08;5732421;163760;1935859;1154212;1246681;1231909
2020-05-11;5763638;179572;1950966;1208360;1175018;1249722
2020-05-12;5785382;173831;1973563;1226521;1161272;1250195
2020-05-13;5856644;159378;1968918;1273424;1201365;1253559
2020-05-14;5859184;153842;1981311;1270031;1197629;1256371
2020-05-15;5855065;155164;1986675;1237161;1218067;1257998
2020-05-18;5843581;162089;2008069;1246318;1161710;1265395
2020-05-19;5875860;176070;2043516;1252941;1138974;1264359
2020-05-20;5924046;152524;2053628;1346679;1107021;1264194
2020-05-21;5922594;146963;2075984;1335921;1101462;1262264
2020-05-22;5935600;145024;2097966;1325616;1104237;1262757
2020-05-26;5924988;155655;2101495;1329660;1070679;1267499
2020-05-27;5956008;151799;2107127;1340402;1090072;1266608
2020-05-28;6072381;152752;2115276;1394307;1143272;1266774
2020-05-29;6114729;159966;2126508;1321191;1236484;1270580
2020-06-01;6081091;154135;2126325;1306477;1208363;1285791
2020-06-02;6088437;147472;2161872;1295293;1196821;1286979
2020-06-03;6134849;142140;2162785;1336035;1204395;1289494
2020-06-04;6146614;146238;2179121;1297789;1229885;1293581
2020-06-05;6136229;142324;2201693;1257898;1236513;1297801
2020-06-08;6162597;152729;2179912;1306760;1208723;1314473
2020-06-09;6161600;154531;2217250;1288870;1187221;1313728
2020-06-10;6235483;156734;2224373;1323662;1214915;1315799
2020-06-11;6260380;147925;2240794;1346394;1205507;1319760
2020-06-12;6284838;136920;2261826;1364989;1197890;1323213
2020-06-16;6255595;151991;2242405;1367536;1157317;1336346
2020-06-17;6307058;178064;2255999;1367289;1170920;1334786
2020-06-18;6346888;139205;2274468;1427770;1168994;1336451
2020-06-19;6418896;137706;2289135;1470529;1183511;1338015
2020-06-22;6419431;141738;2280196;1477909;1170274;1349314
2020-06-23;6441566;137763;2320651;1462922;1170123;1350107
2020-06-24;6455791;136393;2342623;1441831;1182260;1352684
2020-06-25;6474372;133184;2344223;1426791;1212680;1357494
2020-06-26;6490488;133845;2356520;1385117;1251358;1363648
2020-06-29;6593978;147304;2328234;1462909;1274267;1381264
2020-06-30;6595842;154150;2353357;1356241;1347001;1385093
2020-07-01;6582798;133308;2358151;1319909;1380644;1390786
2020-07-02;6622702;139036;2361597;1365543;1359732;1396794
2020-07-03;6631906;135675;2374959;1322372;1397365;1401535
2020-07-06;6612103;145249;2353652;1293713;1398051;1421438
2020-07-07;6639239;147109;2369475;1301743;1398148;1422764
2020-07-08;6638935;140930;2386892;1293207;1393090;1424816
2020-07-13;6607801;182251;2349113;1345907;1288239;1442291
2020-07-14;6632360;164609;2373447;1405300;1254333;1434671
2020-07-15;6658633;146995;2402008;1440610;1238666;1430354
2020-07-16;6655004;143817;2411425;1415655;1254771;1429336
2020-07-17;6682453;176542;2428935;1371739;1273514;1431723
2020-07-20;6675355;148674;2430427;1395966;1257525;1442763
2020-07-21;6712029;141763;2465276;1416022;1248573;1440395
2020-07-22;6727971;136060;2468136;1437700;1244337;1441738
2020-07-23;6726979;131564;2482167;1434016;1236577;1442655
2020-07-24;6725170;133715;2502721;1400113;1245309;1443312
2020-07-27;6734808;134630;2481268;1419717;1247757;1451436
2020-07-28;6763431;133569;2513089;1411720;1255057;1449996
2020-07-29;6822819;130198;2503971;1453575;1283688;1451387
2020-07-30;6857785;138347;2493812;1434754;1337496;1453376
2020-07-31;6882191;146971;2535806;1356840;1387326;1455248
2020-08-03;6856681;139852;2526647;1335061;1387367;1467754
2020-08-04;6888085;145543;2559100;1383204;1334013;1466225
2020-08-05;6872579;139643;2560872;1360006;1345685;1466373
2020-08-06;6862163;138521;2560909;1332488;1360939;1469306
2020-08-07;6846083;144732;2558760;1291370;1380746;1470475
2020-08-10;6831717;157199;2578807;1308932;1306820;1479959
2020-08-11;6839023;150811;2595889;1341942;1276077;1474304
2020-08-12;6879831;150935;2580540;1396768;1278917;1472671
2020-08-13;6875037;133685;2587325;1437876;1244895;1471256
2020-08-14;6855740;130002;2612420;1397795;1246245;1469278
2020-08-18;6866769;148753;2581234;1454319;1207500;1474963
2020-08-19;6909484;179311;2596473;1468834;1195994;1468872
2020-08-20;6924310;144043;2608732;1516489;1189565;1465481
2020-08-21;6941434;137567;2637280;1527881;1175860;1462846
2020-08-24;6938958;142253;2651055;1521567;1156653;1467430
2020-08-25;6963105;140071;2681085;1515360;1162331;1464258
2020-08-26;6979555;131843;2686020;1504251;1195377;1462064
2020-08-27;7000063;132019;2699015;1499082;1208403;1461544
2020-08-28;6997943;135167;2695354;1466957;1238457;1462008
2020-08-31;7002215;157392;2689551;1410141;1272216;1472915
2020-09-01;6985880;146215;2710409;1384976;1273648;1470632
2020-09-02;7038791;145622;2708673;1445560;1267655;1471281
2020-09-03;7024885;150197;2714497;1427492;1260290;1472409
2020-09-04;7017380;142591;2719769;1376151;1304146;1474723
2020-09-07;6965925;151988;2699813;1376880;1247518;1489726
2020-09-08;6958292;151416;2740243;1357752;1221879;1487002
2020-09-09;6953085;148749;2746264;1356646;1216597;1484829
2020-09-10;6951482;154361;2760571;1360737;1192863;1482950
2020-09-11;6991015;145984;2765184;1415066;1183573;1481208
2020-09-14;7029737;148529;2757336;1427434;1212003;1484435
2020-09-15;7045740;147633;2789285;1427386;1200656;1480780
2020-09-16;7025164;145205;2806286;1421044;1172772;1479857
2020-09-17;7093549;190225;2799360;1442609;1181233;1480122
2020-09-18;7088030;145007;2819261;1470166;1174530;1479066
2020-09-21;7122350;153002;2801021;1536169;1146947;1485211
2020-09-22;7128432;148128;2842827;1507418;1147765;1482294
2020-09-23;7146676;145224;2840409;1521480;1157113;1482450
2020-09-24;7146422;140766;2846296;1521031;1154949;1483380
2020-09-25;7138448;139307;2852925;1498944;1164447;1482825
2020-09-28;7177050;146893;2851020;1519685;1170620;1488832
2020-09-29;7195435;156122;2856871;1488117;1208052;1486273
2020-09-30;7235037;150910;2846959;1487009;1264880;1485279
2020-10-01;7231548;143866;2859627;1442911;1299151;1485993
2020-10-02;7218687;149642;2856685;1421202;1301940;1489218
2020-10-05;7180232;157304;2839285;1406782;1274757;1502104
2020-10-06;7228571;160536;2856834;1408390;1300848;1501963
2020-10-07;7210161;157608;2842118;1376242;1329120;1505073
2020-10-08;7163196;153600;2835727;1397302;1268771;1507796
2020-10-09;7167760;159225;2822148;1409847;1269251;1507289
2020-10-13;7110624;180377;2764773;1466144;1186940;1512390
2020-10-14;7111782;171198;2765961;1499642;1173267;1501714
2020-10-15;7139615;157837;2800280;1528083;1158270;1495145
2020-10-16;7111774;155405;2786023;1489180;1190105;1491061
2020-10-19;7181296;209013;2753156;1525391;1204091;1489645
2020-10-20;7197507;160454;2785879;1584758;1185155;1481261
2020-10-21;7218939;151588;2792141;1606809;1189898;1478503
2020-10-22;7228137;147706;2795914;1629379;1181238;1473900
2020-10-23;7226086;146388;2807087;1627473;1175097;1470041
2020-10-26;7218413;153787;2775019;1624324;1194574;1470709
2020-10-27;7241771;158699;2812006;1611589;1194737;1464740
2020-10-28;7321362;146614;2798332;1691545;1222487;1462384
2020-10-29;7281665;150839;2780434;1644037;1244595;1461760
2020-10-30;7281652;156360;2776448;1573413;1312359;1463072
2020-11-02;7260013;159563;2727382;1570654;1328481;1473933
2020-11-03;7247636;156332;2754269;1566652;1297111;1473272
2020-11-04;7230881;161942;2732371;1549655;1314081;1472832
2020-11-05;7232511;157454;2732660;1513319;1353444;1475634
2020-11-09;7140293;183952;2669497;1517463;1282195;1487186
2020-11-10;7163596;177044;2692367;1549738;1262933;1481514
2020-11-11;7183981;161252;2712775;1583949;1246615;1479390
2020-11-12;7192459;154028;2730178;1567454;1263872;1476927
2020-11-13;7212641;150958;2742069;1548159;1296928;1474527
2020-11-16;7181976;160165;2721539;1597807;1227036;1475429
2020-11-17;7253802;201488;2770733;1608158;1204040;1469383
2020-11-18;7288081;156988;2775739;1665448;1224879;1465027
